City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san andres,12.5847,-81.7006,28.01,83,40,4.12,CO,1735333700
83,arkansas city,37.062,-97.0384,13.48,71,75,2.06,US,1735333701
84,visby,57.6409,18.296,4.12,100,100,1.54,SE,1735333702
85,invercargill,-46.4,168.35,18.34,86,57,1.34,NZ,1735333703
86,west island,-12.1568,96.8225,26.99,94,75,7.72,CC,1735333704
87,hasaki,35.7333,140.8333,7.53,50,75,2.74,JP,1735333706
88,la romana,18.4273,-68.9728,25.2,100,75,4.12,DO,1735333707
89,lupane,-18.9315,27.807,21.65,79,98,1.86,ZW,1735333708
90,bereznik,62.8551,42.7072,-1.94,87,26,4.56,RU,1735333710
91,georgetown,5.4112,100.3354,27.96,82,20,1.54,MY,1735333436
92,mount gambier,-37.8333,140.7667,13.79,79,66,3.91,AU,1735333712
93,mossel bay,-34.1831,22.146,21.28,83,90,1.91,ZA,1735333714
94,praia da vitoria,38.7333,-27.0667,15.79,90,98,3.0,PT,1735333715
95,kayangel,8.0823,134.7173,28.43,77,98,4.48,PW,1735333716
96,itoman,26.1247,127.6694,17.01,72,75,10.29,JP,1735333717
97,pizarro,4.9533,-77.366,26.52,79,59,4.02,CO,1735333720
98,puerto aysen,-45.4,-72.7,24.59,33,67,1.3,CL,1735333721
99,isafjordur,66.0755,-23.124,-5.77,86,53,4.89,IS,1735333722
100,petrovsk,52.3064,45.3917,-4.1,96,100,1.96,RU,1735333724
101,novoishimskiy,53.1981,66.7694,-5.56,92,94,6.24,KZ,1735333725
102,port elizabeth,-33.918,25.5701,22.4,99,75,3.09,ZA,1735333727
103,crane,31.3974,-102.3501,20.87,18,75,3.75,US,1735333729
104,tarawa,1.419,172.984,29.05,74,20,6.17,KI,1735333730
105,st. john's,47.5649,-52.7093,2.21,96,100,6.26,CA,1735333706
106,gaalkacyo,6.7697,47.4308,21.45,72,92,6.72,SO,1735333732
107,mitsamiouli,-11.3847,43.2844,27.45,78,100,4.67,KM,1735333734
108,cangzhou,38.3167,116.8667,-4.89,36,0,3.4,CN,1735333735
109,fort st. john,56.2499,-120.8529,-4.54,94,99,1.35,CA,1735333736
110,nan,18.8333,100.6667,18.07,76,0,0.61,TH,1735333737
111,pont rouge,48.8833,-72.0825,-7.2,94,100,1.49,CA,1735333738
112,sterlibashevo,53.4376,55.2578,-4.36,95,100,3.02,RU,1735333740
113,haiku-pauwela,20.9219,-156.3051,26.13,71,40,5.14,US,1735333636
114,gardez,33.5974,69.2259,-1.96,43,0,1.12,AF,1735333743
115,el calafate,-50.3408,-72.2768,15.61,41,54,4.23,AR,1735333483
116,mahdia,35.5047,11.0622,13.36,72,3,3.59,TN,1735333747
117,khandyga,62.6667,135.6,-43.19,100,56,0.47,RU,1735333748
118,odemira,37.598,-8.6397,10.12,90,89,0.95,PT,1735333749
119,naracoorte,-36.9579,140.7383,14.96,70,26,4.84,AU,1735333752
120,luderitz,-26.6481,15.1594,16.59,88,0,4.19,NA,1735333644
121,vorgashor,67.5833,63.95,-5.85,96,100,5.35,RU,1735333755
122,les cayes,18.2,-73.75,27.8,73,100,0.61,HT,1735333757
123,tura,25.5198,90.2201,14.81,59,0,2.04,IN,1735333758
124,chonchi,-42.6128,-73.8092,18.95,43,100,0.86,CL,1735333759
125,gryazovets,58.88,40.2525,-4.18,93,7,3.61,RU,1735333760
126,alotau,-10.3069,150.4462,25.79,89,85,0.86,PG,1735333761
127,wuwei,37.9281,102.6414,-8.05,40,0,1.48,CN,1735333763
128,freetown,8.484,-13.2299,25.66,76,3,2.96,SL,1735333764
129,tahlequah,35.9154,-94.97,13.12,100,75,0.0,US,1735333765
130,saldanha,-33.0117,17.9442,17.98,88,0,6.56,ZA,1735333766
